SN,Term,Definition (English),Term translation/transliteration in Tigrinyan,Definition in Tigrinyan,Tigrinyan definition provided by (names),Term translation/transliteration in Amharic,Definition in Amharic,Amharic definition provided by (names)
597,Symptoms,The feelings or conditions a person reports about his sickness. ,ምልክታት,ሕሙም ዝስምኦ ስምዒት ሕማም ወይ ከኣ ሕሙም ዝነግረካ ምልክታት ሕማም ማለትኢዩ,,,,
598,Syndrome,"A group of symptoms that patients describe, combined with classic signs that health workers observe during clinical assessment. ",ስይንድሮም ,ብሕሙም ዝግለፁን  ኣብ እዋን ምርመራ ብሰብ ሞያ ዝርከቡን/ዝንፅሩን/ ብዙሓት ምልክታት ሕማም,,,,
599,Syphilis,"A chronic infectious disease, caused by bacteria called Treponema pallidum. ",ፍንጣጣ,ብሰንኪ  ተረፖነማ ፓሊዱም ዝተብሃለ ባክተሪያ ዝመፅእ ሕዱረ ሓደ  ሕማም,,,,
600,Systematic,"When we say that research has to be systematic, this means that a clear 'system' is used for collecting, recording, analysing and interpreting all the data.",ብልሓታዊ ,ምርምር ብልሓታዊ ክኾን አለዎ ፡፡  እዙይ ማለት ንፁር   ዳታ ንምእካብ፣ ንምምዘጋብ፣  ንምትነታንን ንምትርጓምን ይጠቅም፡፡ ,,,,
601,Taboos,"Something that is avoided, banned, or not allowed because of a cultural belief.",ድሑራት ኣበሃህላታት(ታቡስ),ብምኽንያት ባህላዊ እምነታት ዘለው/ዝረኣዩ ኮይኑ  ግን  ክውገዱ ዝግበኦም ወይ ዘይፍቀዱ  ምስ ድሕረት ዝተተሓሓዙ ነገራት,,,,
602,Taeniasis,Tapeworm infestation. Taeniasis is a parasitic zoonotic disease caused by the adult stage of large tapeworms that live in the intestines of human hosts. ,ሕማም ሓቢ,ብሓቢ ምዉራር- ሕማም ሓቢ ካብ ህማም ዘለወን እንስሳ  ብዓብዪ ደረጃ ሓቢ ዝመፅአ ፅግዕተኛ ሕማም ኮይኑ ኣብ መዓንጣ ወዲ ሰብ ዝነብር ዩ፡፤,,,,
603,Tartar,Calculus of the teeth.,ታርታር,ስኒ ብዘይ ምሙዋፅ ኣብ ስኒ ተፀግዑ ዝህሊ ጠንካራ ነገር ወይ ንፃፍ እምኒ ዝመስል,,,,
604,TB,"Tuberculosis (TB) is a disease caused by the bacterium Mycobacterium tuberculosis. It usually attacks the lungs, but can also affect other parts of the body.",ቲቢ (ዓባይ ሰዓል),ቲቢ(ዓባይ ሰዓል) ብዓይኒ ብዘይረኣዩ ማይኮባክተሪየም ዝበሃሉ ባክትሪያ ዝመፅእ ሕማም ዩ፡ መብዛሕትኡ ዘጥቀዖ ሳንባ እንትኾን  ካሊእ ኣካል ሰዉነትውን ከጥቅዕ ይኽእል,,,,
605,Tetanus,"Tetanus is a neurological disorder, that is, a disorder of the nervous system. Symptoms of tetanus are tight muscles that are difficult to relax, and muscle spasms (muscle contractions that occur without the person wanting them to). ",ለኻቲ መንጋጋ,ለኻቲ መንጋጋ ናይ ነርቭ(ስርዓተ ነርቭ) ሽግር ዘለዎ ሕማም ዩ፡፤ ምልክታቱ ድማ ጭዋዳታት ምዉጣር ንምዝንናይ ወይ ንምልሕላሕ ዘፀግም፤ ካብ ድሌት ወፃኢ  ጭዋዳታት ምኩምታር(ምግትታር)፣ ኣፍ ዘይ ምኽፋት ዘይምዕፃው ,,,,
606,Thermometer,An instrument used to measure how hot a person's body temperature is.,ቴርሞሜትር,ናይ ሰብ ሰውነት ሙቀት(ረስኒ) መለከዒ መሳረሒ,,,,
607,Tick,A crawling insect-like animal that buries its head under the skin and sucks blood.,ቁርዲድ,ርእሱ ኣብ ዉሽጢ ቆርበት ካሊእ እንስሳ ቐቢሩ ደም ዝምገብ ነብሳት,,,,
608,Tolerance,"The power of enduring or resisting the action of a drug, poison, etc. E.g. A tolerance to antibiotics.",ምፅዋር(ምኽኣል),ንመድሓኒታት፡ መረዝቲ ነገራት፡ ንመድሓኒታት ናይ ምፅዋር ወይ ምኽኣል ሓይሊ ,,,,
609,Tonsils,"Small organs in the throat, containing white blood cells, which help to prevent infection entering the body through the mouth.",ሓናት(ቶንሲል),ኣብ ድሕሪ መልሓስ ወይ ላዕለዋይ ጎሮሮ ዘለዋ ፀዓዱ ዋህዮታት ደም  ዘለወን ኣናእሽቱ ኣካላት ኮይነን ብኣፍ ናብ ሰዉነት ረኽሲ ከይኣቱ የከላኸላ፡፡ ,,,,
610,Toxic,Poisonous,መርዛም,መርዛም,,,,
611,Toxins,Any poison produced by an organism.,መርዚታት,ብሂወታዊያን ዝምረቱ መርዚታት,,,,
612,Toxoid,Toxin rendered nontoxic by treatment with chemical agents or by physical means and used for administration into the body in order to produce specific immunity by stimulating the production of antibodies.,ዚተዳኸሙ መርዚታት,መርዚ ኾይኑ ዘይምርዝ ከም መድሃኒት ብኬምካላዊ ወይ ኣካላዊ ንሰብ ዝወሃብ ምእንታን ነናይ ባዕሎም ፍሉይ መከላኸሊ ዓቅሚ(ኣንቲበድይ) ከምርቱ ዘለዓዕል ዩ፡፡,,,,
613,Trachoma,An infectious eye disease that can eventually cause blindness if left untreated. ,ትራኮማ, ተመሓላላፋይ ሕማም ዓይኒ ኾይኑ እንተዘይተሓኪሙ ዕዉርነት ዘስዕብ,,,,
614,Tract,"A system of body organs and parts that work together to do a special job; for example, the urinary tract cleans the blood and gets rid of urine.",መስመር(ቱቦ),ኣብ ሰዉነትና ፍሉይ ስራሕ ዘስርሑ ስርዓት ኣካላትን ምስኦም ዝሰርሑ ክፍሊታትን ብሓደ ዝፈጥርዎ ዩ፡ ንኣብነት ናይ ሽንቲ ቱቦ(መስመር)  ደም ብምፅራይ ብሽንቲ ክወፅእ(ክዉገድ) ይገብሮ,,,,
615,Traditions,"Traditions are long-established patterns of beliefs, actions or behaviours, often handed down within a community over many generations. ",ባህሊታት,ኣብ ነዊሕ ጊዜ ኣብ ማሕበረሰብ ካብ ትዉሊዲ ናብ ትዉሊዲ እናተሃነፁን እናተሰጋገሩ(እናተቀባበሉን)  ዝመፅኡ እምነታት፤ ፍፃመታት፡ ባህሪታት,,,,
616,Training,"The act of being prepared for something, of being taught or learning a particular skill and practising it.",ስልጠና,ከይዲ ምድላው ንዚኾነ ነገር፡ ንምምሃርን ምስትምሃር ዝኮነ ፍሉይ ክእለትን ትግበራ እቲ ክእለትን,,,,
617,Transpiration,The release of water vapour (water as a gas) from plants and soils into the atmosphere. ,ትራንስፓይረሽን,ብተኽሊታትን ካብ ሓመድን ናብ ከባቢ ኣየር ማያዊ ጋዝ ምልቃቅ( ምትንፋስ ኣብ ተኽሊታት ማለት ዩ),,,,
618,Trauma,Injury.,መጉዳእቲ,ጉድኣት,,,,
619,Treatment,Managing in the application of medicines or other in order to relieve or cure an illness.,መድሃኒት(ምሕካም),መድሓኒታት ብምግባር ወይ ብምሃብ ካብ ሕማሞም ምዕጋስ ወይ ምድሓን,,,,
620,Tremors,Involuntary shaking of the body or limbs.,ምንቅጥቃጥ,ዘይምእዘዝ ናይ ሰውነት ወይ መሓዉር ምንቅጥቃጥ,,,,
621,Trends,Situations over a period of time.,ትሬንድስ(ዝተለምደ),ኩነታት ኣብ ዉስን ዝተለምደ ጊዜ,,,,
622,Triage,Identifying the appropriate treatment according to the priority or severity of the symptoms.,ምምማይ(ትሪያጅ),ብመሰረት ክብደት ምልክታቶም ወይ ቅድሚያ ክኾኑ ዝግበኦም ፈሊኻ ግቡእ ሕክምና ክረኽቡ ምግባር,,,,
623,Trimester,Three month period.,ትሪይማሰተር,ኣብ ግዜ ፅንሲ ዘሎ ክፍፍል 3ተ ኣዋሪሕ,,,,
624,Trophoblast,"In human fertilisation, it forms early embryo, fetal membranes and placenta after five to seven days.",ትሮፖቢላስት,ኣብ ናይ ወዲ ሰብ ፅግያት ኣብ መጀመርታ 5-7 መዓልትታት ዝፍጠር እምብሪዮ፡ ናይቲ ዝተፈጥረ ሸፋን(መምብሬን) መድሓንቲ ዝፈጥር,,,,
625,Tuberculosis,A chronic infectious disease caused by Mycobacterium tuberculosis.,ዓባይ ሰዓል,ሕዱር ተመሓላላፋይ ሕማም ብማይኮ-ባክተሪየም ዝመፅእ ሕማም ዩ,,,,
626,Tumour,A lump of new cells growing in an inappropriate location.,ሕበጥ ወይ ድማ ካንሰር ,ኣብ ዘየድሊ ቦታ(ሰዉነት ክፍሊ) ካብ ዕብየት(ምብፃሕ) ሓደሽቲ ዋህዮታት ዝፍጠር ሕበጥ ነገር,,,,
627,Turbidity,Thick or dense.,ምድፍራስ,ሪጉድ፡ ድፍሪስ ወይ ሕፍስ ዚበለ,,,,
628,Underweight,"Weighing less than usual, required. Underweight is an indicator of both acute and chronic malnutrition. ",ትሕቲ ምዛን,ምዛኑ ካብ ዝተለምደ(ካብ ክኾኖ) ዝግባእ ንታሕቲ ዝኾነ፡ ትሕቲ ምዛን መርኣያ ክልትኦም ህፁፅን ዝፀንሐን(ሕዱርን) ሕፅረት ምግቢ ዩ,,,,
629,Unintended,Unplanned. ,ዘይተሓሰበ,ዘይተዓቀደ,,,,
630,Unstable,"Not stable, not firm or firmly fixed, unsteady. ",ዘይምርግጋዕ,ዘይተረጋገዐ፡ ጥንኩር ዘይኮነ ወይ ጥንኩር ኮይኑ ዚቦቀለ(ቦታ ዓትዕቱ ዝሓዘ),,,,
631,Urinate,To pass urine.,ምሻን,ሽንቲ ምሻን,,,,
632,URIs,Upper respiratory tract infections (URIs). ,ረኽሲ ላዕለዋይ ስርዓት ምስትንፋስ,ረኽሲ ኣካል ላዕለዋይ ስርዓተ- ምትንፋስ,,,,
633,Uterus,Womb. ,ማህፀን,ማህፀን,,,,
634,UTIs,"Urinary tract infections.Infection of the kidney, bladder or urinary tube (urethra). ",ረኽሲ መስመራት ወይ ተቦታት  ሽንቲ,ረኽሲ  መስመራት/ቱቦታት ሽንቲ፡፡ ረኽሲ ኩላሊት፡ፍሕኛ ወይ መስመራት ሽንቲ(ዩሬትራ) ,,,,
635,Vaccination,Medicines that give protection against specific diseases. ,ክታበት,ንፁራት(ፈሉያት) ሕማማት ዝከላኸሉ መድሓኒታት (ክታበታት),,,,
636,Vaccines,"Medical products prepared from whole or parts of bacteria, viruses, or the toxins (poisonous substances) that some bacteria produce. They are intended to produce immunity against a disease. ",ክታበታት,ብሙሉእ ወይ ብኽፋል ካብ ባክተሪያ፡ ቫይረስ ወይ ካብ መርዞም እቶም ባክተሪያታት ዝዳሎ(ዝምረት) ናይ ሕክምና ውፅኢት,,,,
637,Values,The moral and ethical reasons or justifications that people use to justify their actions. ,እሴታት,ህዝቢ ንተግባራቱ ዝጥቀመሎም ሞራላዊን ስነምግባራዊን ምኽንያታት ወይ መርተዖታት,,,,
638,Variable,"Any measured characteristic or attribute that differs between different people, households, etc. ",መለለይ/መፍለይ,ዝኾነ ዝልካዕ ነገር ወይ መፍለይ/መለለይ ኣብ ሞንጎ ዝተፈላለዩ ሰባት/ህዝቢ፣ ኣብ ሕድሐድ ገዛ/ገዛዉቲ፤ ወ.ዘ.ተ,,,,
639,Varicosities,"Swollen blue veins that appear in the legs, or varicose veins. They are very common in pregnancy. ",ዓጣሪ ቨይን( ኣብ ናይ እግሪ ደም ስር),ዝሓበጠ ሰማያዊ ደም ስር ኣብ እግሪ ምህላው ወይ ዓጣሪ ደም ስር፤መብዛሕትኡ ኣብ ጊዜ ጥንሲ ዝረአ,,,,
640,Vasectomy,"A permanent method of contraception for men, involving a minor surgical procedure where the vasa deferentia or sperm ducts, are cut and then tied or sealed. This operation keeps sperm from mixing into the semen when men ejaculate. ",ቫሰክቶሚ,ቀዋሚ መገዲ መከላኸሊ ኣብ ደቂ ተባዕትዮ፤ ንእሹተይ መጥባሕቲ ኣብ ናይ ወዲ ተባዕታይ ዘርኢ/ስፐርም መሕለፊ  ቱቦ/ቆሪፅካ ምልቃም/ምስፋይ ፤እዚ መጥባሕቲ እዚ ሰፐርም/ዘርኢወዲ ተባዕታይ ምስ ሰመን ዝበሃል ፈሳሲ ኣብ ጊዜ ረኸቢ/ ምንፃግ ይከላኸል,,,,
641,Vector,"An organism, usually an arthropod, which transmits an infectious agent to a new host. ",ሓሰኻ/ነብሳት/ኣርተሮፖድስ,"ህይወታዊያን;  መብዛሕትኡ ነብሳት, ሕማም መመሓላለፊ ናብ ሓድሽ ተቀባሊ/ሆስት ዘሕልፉ",,,,
642,Vehicle,"A vehicle is any non-living substance or object that can be contaminated by an infectious agent, which then transmits it to a new host. ",ዓቅሓ (መፅንሒ),ዓቅሓ(መፅንሒ) ዝኾነ ዘይህወታዊያን ነገር ኮይኑ ብረኽሲ መተሓላለፍቲ ዝተራኸሰ/ዝተበላሸወ ናብ ሓድሽ ተቀባሊ/ሆስት ረኽሲ ዘሕልፉ,,,,
643,Ventilation,"The removal of old, stale or 'diseased' air, and replacing it with new, fresh or 'clean' air. ",ምንፋስ,ዝነበረ፤ዝፀንሐ፤ዝተበላሸወ ኣየር ብምዉጋድ ሓድሽ፤ ንፁህ ኣየር ምትካእ,,,,
644,Vertex,"The area midway between the anterior fontanel, the two parietal bones and the posterior fontanel. ",መጋጠሚ/መራኸቢ,ኣብ ማእኸል ቀረንቀራዊ ፎንታነል ፡ ክልተ መትላሓዊ ዓዕፅምቲን ዳሕረወይ ፎንታነልን ዝርከብ/መጋጠሚ,,,,
645,Vesicles,"Fluid-filled blisters formed in, or beneath, the skin that appear in only one area on one side of the body.",ቁፃራት,ፈሳሲ ዝመልኣ ቁፃራት/ቁስሊታት ኣብ ቆርበት ኣብ ሓደ ቦታ ሓደ ገፅ ሰዉነት ጥራሕ ዝርከብ,,,,
646,Violence,"Rough or unjust physical force, action or treatment.",ዓመፅ,ስምምዕ ዘይብሉ፤ፍትሓዊ ዘይኮነ ኣካላዊ ሓይሊ/ጉልበት ምጥቃም፣ ምፍፃም፣ ምትግባር,,,,
647,Viruses,Infectious agents that do not have the structure of a cell. They are more like tiny boxes or particles and are much smaller than bacteria.,ቫይረስ,ናይ ዋህዮ ቅርፂ/መልክዕ ዘይብሎም ረኽሲ/ሕማም መተሓላለፍቲ፤፤ ብጣእሚ ዝደቀቁ ካብ ባክተሪያዉን ብጣዕሚ ዝነኣሱ ኢዮም ,,,,
648,Wasting,Wasting is defined as a low weight for the height of the child compared to the standard child of the same height. Wasted children are vulnerable to infection. It is a form of acute malnutrition.,ምቅጣን/ምምንማን,ምቅጣን/ምምንማን ማት ሓደ ህፃን ትሑት ሚዛን ንቁመቱ እንትህልዎ ምስ ኣብቲ ዝድለ ደረጃ/ብርኪ ምስ ዝህሉ ቆልዓ/ህፃን ተመሳሳሊ ቁመት ዘለዎ እንትወዳደር፤፤ ሚዛኖም ዘተሓተ ቆልዑ ንረኽሲ ዝተቃለዑ ኢዮም፤፤ምቅጣን/ምምንማን ናይ ህፁፅ ሕፅረት መግቢ ዓይነት ኢዩ,,,,
649,Zoonoses,"Diseases such as rabies, where the infectious agents can be transmitted from animal hosts to susceptible humans.",እንስሳት,ሕማማት  ክምኒ ሕማም ዑብድ ከልቢ፤መምፀእቲ ሕማማቶም/ረኽሲ ካብ እንስሳት ፀወርቲ ናብ ብቀሊሉ ተጠቃዓይ ወዲ ሰብ ዝመሓላለፉ,,,,
650,Zoonotic,"Zoonotic foodborne diseases (i.e. those that are transmitted to humans from other animals), e.g. anthrax and bovine tuberculosis. ",እንስሳዊ,ካብ ናይ እንስሳትን ዉፅኢት እንስሳትን ብምጥቃም ዝመፁ ሕማማት(ማለት ካብ ካልኦት እንስሳ ናብ ወዲ ሰብ ዘመሓላለፉ,,,,
